experiment	tube	timepoint	rootID	layerID	segmentID	length_pixel	startDiameter_pixel	endDiameter_pixel	surfaceArea_pixel^2	volume_pixel^3	children	status	statusName
me	T23	1	380	1	5	15.524174696260024	3.9839248657226562	3.9839248657226562	194.29853823811968	193.5176946105921	1	0	LIVING
me	T23	1	380	1	6	31.89043743820395	3.9839248657226562	3.9839248657226562	399.136540218785	397.53249714790354	1	0	LIVING
me	T23	1	380	1	7	20.808652046684813	3.9839248657226562	3.9839248657226562	260.4383649683193	259.39171974137486	0	0	LIVING
me	T23	1	384	1	1	26.1725046566048	3.9839248657226562	3.9839248657226562	327.57164205539397	326.2552027678053	1	0	LIVING
me	T23	1	384	1	2	16.1245154965971	3.9839248657226562	3.9839248657226562	201.8123251048893	201.00128519978435	1	0	LIVING
me	T23	1	384	1	3	30.066592756745816	3.9839248657226562	1.3279744386672974	251.1175775555656	180.45789846658838	1	0	LIVING
me	T23	1	384	1	4	27.294688127912362	1.3279744386672974	1.3279744386672974	113.87220353041349	37.80484359569305	1	0	LIVING
me	T23	1	384	1	5	29.154759474226502	1.3279744386672974	1.3279744386672974	121.6323370016573	40.38115829819831	0	0	LIVING
me	T23	1	388	1	1	46.87216658103186	2.655949592590332	2.6559503078460693	391.0972906861851	259.68369403175376	0	0	LIVING
me	T23	1	392	1	1	51.15662224971465	2.6559503078460693	2.6559503078460693	426.84645532512394	283.420741804361	0	0	LIVING
me	T23	1	396	1	1	30.59411708155671	2.6559503078460693	2.6559503078460693	255.27468108270483	169.49921587429753	1	0	LIVING
me	T23	1	396	1	2	15.264337522473747	2.6559503078460693	2.6559503078460693	127.36431917943032	84.56832514573972	1	0	LIVING
me	T23	1	396	1	3	19.026297590440446	2.6559503078460693	2.6559503078460693	158.7537903655426	105.41054392822498	0	0	LIVING
me	T23	1	400	1	1	27.85677655436824	2.6559503078460693	2.6559503078460693	232.43454720238938	154.33365081803103	1	0	LIVING
me	T23	1	400	1	2	11.180339887498949	2.6559503078460693	2.6559503078460693	93.28779423734609	61.941936062002476	1	0	LIVING
me	T23	1	400	1	3	23.40939982143925	2.6559503078460693	2.6559503078460693	195.3260183265065	129.69404880175014	1	0	LIVING
